,,Copy & paste the Share link for each image file from Dropbox,,,,,
Product Name,SKU,Product Image,Feature Icon 1,Feature Icon 2,Feature Icon 3,Feature Icon 4,Feature Icon 5
ChiRunning Jumpstart Package,crjumpdig,https://www.dropbox.com/s/b92eln4exyamne7/chimarathon-jumpstart-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning Jumpstart Package,crjump ,https://www.dropbox.com/s/b92eln4exyamne7/chimarathon-jumpstart-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalking Audio Program,cwaudio,https://www.dropbox.com/s/fo1cmh5xijxq7io/chiwalking-audio-program.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
ChiWalk-Run Jumpstart Package,wrdvdtpdig,https://www.dropbox.com/s/yiwe5gcnxjbo2f5/chiwalk-run-jumpstart-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalk-Run Jumpstart Package,wrdvdtp ,https://www.dropbox.com/s/yiwe5gcnxjbo2f5/chiwalk-run-jumpstart-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalk-Run Complete Package,cwrpackdig,https://www.dropbox.com/s/so2o3nx753db177/chiwalk-run-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalk-Run Complete Package,cwrpack ,https://www.dropbox.com/s/so2o3nx753db177/chiwalk-run-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalking Jumpstart Package,cwjumpdig,https://www.dropbox.com/s/nf4li2vqhas2w7b/chiwalking-jumpstart-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
ChiWalking Jumpstart Package,cwjump ,https://www.dropbox.com/s/nf4li2vqhas2w7b/chiwalking-jumpstart-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
