Product Name,Recommended Product Name,SKU,Parent Category,Subcategory 1,Subcategory 2,Subcategory 3,Attribute - Program 1,Attribute - Program 2,Attribute - Program 3,Product Type,Variation - Format,Variation - Language,Variation - Level,Variation - Size,Price,External Link to Third-Party Platform for Product Details/Purchase,NEW Short Descriptions,Long Description,Review 1,Review 2,Feature & Benefit 1 Title,Feature & Benefit 1 Blurb ,Feature Icon 1,Feature & Benefit 2 Title,Feature & Benefit 2 Blurb ,Feature Icon 2,Feature & Benefit 3 Title,Feature & Benefit 3 Blurb ,Feature Icon 3,Feature & Benefit 4 Title,Feature & Benefit 4 Blurb ,Feature Icon 4,Feature & Benefit 5 Title,Feature & Benefit 5 Blurb ,Feature Icon 5,Item Height,Item Length,Item Width,Item Weight,Dropbox Link to Product Image,variation description
"ChiRunning Jumpstart Package: Book, DVD, & Metronome",ChiRunning Jumpstart Package,crjumpdig,Package,,,,ChiRunning  ,,,Variable,Digital DVD,,,,54.95,,"Run injury-free with the revolutionary technique that makes running joyful and safe for beginning runners to seasoned marathoners. Package includes the ChiRunning book, DVD, and metronome.","""Running doesn’t have to be hard, and it doesn’t have to hurt. Whether you’re a seasoned runner in marathon training or you’re just getting started, ChiRunning will help you run with ease, energy and joy. Combine the inner focus and flow of T’ai Chi with running to develop a ground-breaking technique that takes the pain and injury out of running. <ul class=""cr-additional-bullets"">
<li>Learn how to run so it feels easy on your body</li>
<li>Prevent pain and injuries</li>
<li>Enrich your running practice and stay consistent</li>
<li>Run farther, faster, and easier with less effort</li>
</ul>
ChiRunning is the injury-free answer for all runners, whether you’re a beginner, a seasoned marathoner, or a triathlete. You can truly love running forever.""","""At age 76, I don't believe I could be doing this amount of running had I not discovered ChiRunning. Hopefully, I can continue for many more years of ChiRunning.""
Tom R. ","""I'm so grateful that you were able to discover this more natural and centered way to run, and generously share it with others. This is incredibly valuable to me as ""preventative medicine"", which will allow me to avoid future pain and injury by running with proper alignment and form.""
Vicky W. ",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your running efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Run with confidence,"Feel lighter on your feet, and run farther and faster with less recovery time",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon.png,Stay consistent,Enrich your running practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love running for life,Rediscover the joy of running,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon.png,2.75,9.25,6.13,1.38,https://www.dropbox.com/s/3zaui7kpk4d9qj7/cw-jumpstart.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""></div>"
"ChiRunning Jumpstart Package: Book, DVD, & Metronome",ChiRunning Jumpstart Package,crjump ,Package,,,,ChiRunning  ,,,Variable,Digital DVD & DVD by Mail,,,,64.95,,"Run injury-free with the revolutionary technique that makes running joyful and safe for beginning runners to seasoned marathoners. Package includes ChiRunning book, DVD, and metronome.","Running doesn’t have to be hard, and it doesn’t have to hurt. Whether you’re a seasoned runner in marathon training or you’re just getting started, ChiRunning will help you run with ease, energy and joy. Combine the inner focus and flow of T’ai Chi with running to develop a ground-breaking technique that takes the pain and injury out of running. 
<ul class=""cr-additional-bullets""><li>Learn how to run so it feels easy on your body</li>
<li>Prevent pain and injuries</li>
<li>Enrich your running practice and stay consistent</li>
<li>Run farther, faster, and easier with less effort</li></ul>
ChiRunning is the injury-free answer for all runners, whether you’re a beginner, a seasoned marathoner, or a triathlete. You can truly love running forever.","""At age 76, I don't believe I could be doing this amount of running had I not discovered ChiRunning. Hopefully, I can continue for many more years of ChiRunning.""
Tom R. ","""I'm so grateful that you were able to discover this more natural and centered way to run, and generously share it with others. This is incredibly valuable to me as ""preventative medicine"", which will allow me to avoid future pain and injury by running with proper alignment and form.""
Vicky W. ",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your running efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Run with confidence,"Feel lighter on your feet, and run farther and faster with less recovery time",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon.png,Stay consistent,Enrich your running practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love running for life,Rediscover the joy of running,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon.png,3.25,9.25,6.13,1.51,https://www.dropbox.com/s/3zaui7kpk4d9qj7/cw-jumpstart.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-by-mail-icon-active.png""></div>"
ChiWalking Audio Program – Digital Download,ChiWalking Audio Program,cwaudio,Books & DVDs,,,,,ChiWalking  ,,Simple ,MP4 Download,,,,14.95,,"Lose weight, feel energized, and stay active for lifelong health. Learn how to make walking an effective, pain-free way to get fit.","The ChiWalking technique provides a revolutionary way to enjoy injury-free fitness walking. In this one-hour audio program, ChiWalking Creator and Founder Danny Dreyer introduces you to the ChiWalking Technique and gives you the tools to develop a fitness walking program for life.
<ul class=""cr-additional-bullets""><li>Learn the basics of the ChiWalking technique</li>
<li>Personal audio guidance through an entire walk from the Founder of ChiWalking </li>
<li>Warm<li>up and cool<li>down techniques </li></ul>","""I am proud to say that this is my 13th week and I have doubled the time I was walking and increased both speed. You have truly energized my life."" 
Geri L.","""I walked 50 minutes and it felt like 30 or less and no pain. I have a herniated disk and it felt great - all I can say is wow. I was afraid it might be too good to be true, but I proved myself wrong."" 
Robin",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your walking efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Walk with confidence,Feel lighter on your feet and walk farther and faster than ever before,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon.png,Stay consistent,Enrich your walking practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love fitness for life,Rediscover the joy of walking,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon.png,0,0,0,0,https://www.dropbox.com/s/ltvrm1pwqqyb6lu/1-400x400.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/mp4-download-icon-active.png""></div>"
"ChiWalk-Run DVD, Training Program, & Metronome",ChiWalk-Run Jumpstart Package,wrdvdtpdig,Packages,,,,,,ChiWalk-Run,Variable,Digital DVD & Training Program,,,,44.95,,"Get and stay fit with a safe and gentle approach to fitness! Package includes ChiWalk-Run Training Program, DVD, & Metronome","The Chi techniques combine the inner focus and flow of T’ai Chi with walking and running to create ground-breaking techniques that take the pain and injury out of fitness. You don’t need to know a thing about T’ai Chi for these techniques to work wonders for you. Save your knees, feel light on your feet, and enjoy your workouts.
<ul class=""cr-additional-bullets""><li>Get daily workouts that keep you motivated and pain free</li>
<li>Take walk breaks to decrease fatigue while building endurance</li>
<li>Reduce impact* and prevent injuries so you can stay on the track to fitness</li>
<li>Burn fat, tone your muscles, and boost your energy</li>
<li>Look & feel better than ever!</li></ul>","“I don’t have an excuse anymore. I love exercising and being healthy…I can only see my life improving from here.”  
Kristy C., Chi Walk-Run Enthusiast","""I started reading ChiWalking hoping I wouldn’t fall asleep reading the book, but I stuck with it and read the focuses again, the 5 Mindful Steps for ChiWalking, etc., and I have begun to realize that a sound understanding of the principles of ChiWalking are what will make a great ChiRunner.""
Cheryl",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your running efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Run with confidence,"Feel lighter on your feet, and run farther and faster with less recovery time",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon.png,Stay consistent,Enrich your running practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love running for life,Rediscover the joy of running,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon.png,3.5,3.75,2.25,0.25,https://www.dropbox.com/s/go35u1utodvga5p/wr-tp-dvd.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/training-program-digital-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/metronome-icon-active.png""></div>"
"ChiWalk-Run DVD, Training Program, & Metronome",ChiWalk-Run Jumpstart Package,wrdvdtp ,Packages,,,,,,ChiWalk-Run,Variable,Physical DVD & Training Program,,,,54.95,,"Get and stay fit with a safe and gentle approach to fitness! Package includes ChiWalk-Run Training Program, DVD, & Metronome","The Chi techniques combine the inner focus and flow of T’ai Chi with walking and running to create ground-breaking techniques that take the pain and injury out of fitness. You don’t need to know a thing about T’ai Chi for these techniques to work wonders for you. Save your knees, feel light on your feet, and enjoy your workouts.
<ul class=""cr-additional-bullets""><li>Get daily workouts that keep you motivated and pain-free
<li>Take walk breaks to decrease fatigue while building endurance</li>
<li>Reduce impact* and prevent injuries so you can stay on the track to fitness</li>
<li>Burn fat, tone your muscles, and boost your energy</li>
<li>Look & feel better than ever!</li></ul>","“I don’t have an excuse anymore. I love exercising and being healthy…I can only see my life improving from here.”  
Kristy C., Chi Walk-Run Enthusiast","""I started reading ChiWalking hoping I wouldn’t fall asleep reading the book, but I stuck with it and read the focuses again, the 5 Mindful Steps for ChiWalking, etc., and I have begun to realize that a sound understanding of the principles of ChiWalking are what will make a great ChiRunner.""
Cheryl",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your running efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Run with confidence,"Feel lighter on your feet, and run farther and faster with less recovery time",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon.png,Stay consistent,Enrich your running practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love running for life,Rediscover the joy of running,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon.png,2,3.75,2.25,0.68,https://www.dropbox.com/s/go35u1utodvga5p/wr-tp-dvd.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-by-mail-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/training-program-booklet-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/metronome-icon-active.png""></div>"
Complete ChiWalk-Run Package,ChiWalk-Run Complete Package,cwrpackdig,Packages,,,,,,ChiWalk-Run,Variable,Digital DVD & Digital Training Program,,,,84.95,,"Get and stay fit with a safe and gentle approach to fitness! Package includes ChiWalk-Run Training Program, DVD, ChiRunning Book, ChiRunning DVD, & Metronome","The Chi techniques combine the inner focus and flow of T’ai Chi with walking and running to create ground-breaking techniques that take the pain and injury out of fitness. You don’t need to know a thing about T’ai Chi for these techniques to work wonders for you. Save your knees, feel light on your feet, and enjoy your workouts.
<ul class=""cr-additional-bullets""><li>Get daily workouts that keep you motivated and pain-free
<li>Take walk breaks to decrease fatigue while building endurance</li>
<li>Reduce impact* and prevent injuries so you can stay on the track to fitness</li>
<li>Burn fat, tone your muscles, and boost your energy</li>
<li>Look & feel better than ever!</li></ul>","""I eventually progressed to combining ChiRunning and Walking which led to me getting back to solid running. Many half marathons, triathlons and Ironman 70.3 races later, I’m strong, swift and injury free. Thank you!
Carol C.","""Today I found myself walking for 3 hours in town without feeling any pain in my knee or foot, and also felt as if I was doing everything right. I was also walking faster than I have done in years without being breathless. I didn't feel like stopping as I was feeling brilliant and happy. Tomorrow I will put it into practice in my morning run and walk.""
Joseph C.",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your running efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Run with confidence,"Feel lighter on your feet, and run farther and faster with less recovery time",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon.png,Stay consistent,Enrich your running practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love running for life,Rediscover the joy of running,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon.png,1.58,9.25,6.13,1.51,https://www.dropbox.com/s/yez6q1wpy60s5uu/complete-wr-package.jpg?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/training-program-digital-icon-active.png""></div>"
Complete ChiWalk-Run Package,ChiWalk-Run Complete Package,cwrpack ,Packages,,,,,,ChiWalk-Run,Variable,Physical DVD & PhysicalTraining Program,,,,99.95,,"Get and stay fit with a safe and gentle approach to fitness! Package includes ChiWalk-Run Training Program, DVD, ChiRunning Book, ChiRunning DVD, & Metronome","The Chi techniques combine the inner focus and flow of T’ai Chi with walking and running to create ground-breaking techniques that take the pain and injury out of fitness. You don’t need to know a thing about T’ai Chi for these techniques to work wonders for you. Save your knees, feel light on your feet, and enjoy your workouts.
<ul class=""cr-additional-bullets""><li>Get daily workouts that keep you motivated and pain-free</li>
<li>Take walk breaks to decrease fatigue while building endurance</li>
<li>Reduce impact* and prevent injuries so you can stay on the track to fitness</li>
<li>Burn fat, tone your muscles, and boost your energy</li>
<li>Look & feel better than ever!</li></ul>","""I eventually progressed to combining ChiRunning and Walking which led to me getting back to solid running. Many half marathons, triathlons and Ironman 70.3 races later, I’m strong, swift and injury free. Thank you!
Carol C.","""Today I found myself walking for 3 hours in town without feeling any pain in my knee or foot, and also felt as if I was doing everything right. I was also walking faster than I have done in years without being breathless. I didn't feel like stopping as I was feeling brilliant and happy. Tomorrow I will put it into practice in my morning run and walk.""
Joseph C.",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your running efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Run with confidence,"Feel lighter on your feet, and run farther and faster with less recovery time",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon.png,Stay consistent,Enrich your running practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love running for life,Rediscover the joy of running,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon.png,3.28,9.25,6.13,1.85,https://www.dropbox.com/s/yez6q1wpy60s5uu/complete-wr-package.jpg?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-by-mail-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/training-program-booklet-icon-active.png""></div>"
"ChiWalking Jumpstart Package: Book, DVD, & Metronome",ChiWalking Jumpstart Package,cwjumpdig,Packages,,,,,ChiWalking  ,,Variable,Digital DVD,,,,49.95,,"Learn to blend walking with the movement principles of T’ai Chi to create balance and strength, to improve overall health, and to manage stress. Package includes the ChiWalking book, ChiWalking DVD, and  a metronome. ","Chi Walking combines the inner focus and flow of T’ai Chi with the healthfulness and energy of walking to create a ground-breaking technique that makes walking more enjoyable.
Now available to purchase with the digital ChiWalking DVD, which allows immediate access to stream and download the .mp4 file directly to your computer to view on your devices! (Please note that the rest of your order will be shipped in 2 - 3 business days.) 
This package has the best tools for you to learn the Chi Walking method: the book explains ‘why’, the DVD shows ‘how’, and the metronome puts it all together to help you walk efficiently and with awareness.","""My walking pace was faster and I felt as if I were gliding across the pavement rather than a heavy hard step each time.""
Allison","""For two years I have always had pain when I was walking – the worst was going upstairs - and now I can walk free of pain. I can really recommend this walking style!""
Else G.",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your walking efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Walk with confidence,Feel lighter on your feet and walk farther and faster than ever before,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon.png,Stay consistent,Enrich your walking practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love fitness for life,Rediscover the joy of walking,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon.png,2.88,9.25,6.13,1.25,https://www.dropbox.com/s/3zaui7kpk4d9qj7/cw-jumpstart.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""></div>"
"ChiWalking Jumpstart Package: Book, DVD, & Metronome",ChiWalking Jumpstart Package,cwjump ,Packages,,,,,ChiWalking  ,,Variable,Physical DVD & Digital DVD,,,,59.95,,"Learn to blend walking with the movement principles of T’ai Chi to create balance and strength, to improve overall health, and to manage stress.","Chi Walking combines the inner focus and flow of T’ai Chi with the healthfulness and energy of walking to create a ground-breaking technique that makes walking more enjoyable.
Now available to purchase with the digital ChiWalking DVD, which allows immediate access to stream and download the .mp4 file directly to your computer to view on your devices! (Please note that the rest of your order will be shipped in 2-3 business days.) 
This package has the best tools for you to learn the Chi Walking method: the book explains ‘why’, the DVD shows ‘how’, and the metronome puts it all together to help you walk efficiently and with awareness.","""My walking pace was faster and I felt as if I were gliding across the pavement rather than a heavy hard step each time.""
Allison","""For two years I have always had pain when I was walking – the worst was going upstairs - and now I can walk free of pain. I can really recommend this walking style!""
Else G.",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your walking efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Walk with confidence,Feel lighter on your feet and walk farther and faster than ever before,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon.png,Stay consistent,Enrich your walking practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love fitness for life,Rediscover the joy of walking,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon.png,3.38,9.25,6.13,1.38,https://www.dropbox.com/s/3zaui7kpk4d9qj7/cw-jumpstart.png?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-by-mail-icon-active.png""><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""></div>"
Complete ChiWalking Package,ChiWalking Complete Package,ccwpackdig,Packages,,,,,ChiWalking  ,,Variable,Digital DVD,,,,59.95,,"Learn to blend walking with the movement principles of T’ai Chi to create balance and strength, to improve overall health, and to manage stress.","Chi Walking combines the inner focus and flow of T’ai Chi with the healthfulness and energy of walking to create a ground-breaking technique that makes walking more enjoyable.
Now available to purchase with the digital ChiWalking DVD, which allows immediate access to stream and download the .mp4 file directly to your computer to view on your devices! (Please note that the rest of your order will be shipped in 2 - 3 business days.) 
This package has the best tools for you to learn the Chi Walking method: the book explains ‘why’, the DVD shows ‘how’, and the metronome puts it all together to help you walk efficiently and with awareness.","""During the past few years, my wife and I have become avid ChiWalkers – it’s been an invaluable and powerful journey. All in all, ChiWalking has become our science and our art – a magical way to walk – leading to a more mindful and healthy way to live. We recommend it to everyone whether or not they ever want to walk a marathon – ChiWalking works!"" 
Jim & Sue M. ","""Yesterday I finished my first marathon! I accomplished this using the ChiWalking technique, with a few ChiRunning moments thrown in for good measure. The focuses helped me get through the tough parts, and  when I got to the last few miles and I was exhausted, each step was a reminder to perfect my form, breathe completely, and gather my energy from the earth.""
Kimberly G.",Movement that makes sense,"Learn how small adjustments in your movement can make a big difference in reducing impact, preventing injuries, and improving your walking efficiency",https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon.png,Make injuries a thing of the past,Transform your body’s aches and pains by learning to adjust your technique,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon.png,Walk with confidence,Feel lighter on your feet and walk farther and faster than ever before,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon.png,Stay consistent,Enrich your walking practice to make it something you look forward to rather than a chore,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon.png,Love fitness for life,Rediscover the joy of walking,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon.png,2.88,9.25,6.13,1.25,https://www.dropbox.com/s/34vuu80pyenv2a7/complete-cw-package.jpg?dl=1,"<div class=""var-description><img src=""https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/dvd-download-icon-active.png""></div>"
